Epochs,R_AlexNet_Train_Acc,R_AlexNet_Test_Acc,R_AlexNet_Train_Loss,R_AlexNet_Test_Loss,R_ResNet34_Train_Acc,R_ResNet34_Test_Acc,R_ResNet34_Train_Loss,R_ResNet34_Test_Loss,R_ResNet50_Train_Acc,R_ResNet50_Test_Acc,R_ResNet50_Train_Loss,R_ResNet50_Test_Loss,R_VGG16_Train_Acc,R_VGG16_Test_Acc,R_VGG16_Train_Loss,R_VGG16_Test_Loss
21,0.4508308569590251,0.527715782324473,1.407008992301093,1.113244116306305,99.25925925925924,89.25925925925925,0.0207188212970162,0.4161405016978581,99.12037037037037,87.22222222222223,0.0368114800247199,0.4289042204618454,84.86111111111111,83.70370370370371,0.4213171921232167,0.4975336630116491
22,0.4521949423684014,0.3636532748738925,1.4147520197762384,1.4178107579549153,99.8148148148148,89.25925925925925,0.01552546316388,0.3861225893100102,99.44444444444444,88.88888888888889,0.0294223902747035,0.373201181491216,85.74074074074075,86.48148148148148,0.4069796967155793,0.3725026876610868
23,0.4435143868128459,0.4624256094296773,1.44932758808136,1.3152295152346294,99.53703703703704,89.07407407407408,0.0201086304698358,0.3879624704519908,99.16666666666669,87.4074074074074,0.0299139444113654,0.432754463619656,86.3425925925926,85.0,0.3853935555500142,0.4286737005938502
24,0.4156126015716129,0.480654776096344,1.5464948018391926,1.339475194613139,99.67592592592592,89.25925925925925,0.0155552374199032,0.3860170741875966,99.67592592592592,89.07407407407408,0.0199296821785323,0.3754567835066054,87.63888888888889,85.0,0.3458442289163084,0.4510033597402713
25,0.4322296645906236,0.5130208333333334,1.4697596894370184,1.1944474180539448,99.44444444444444,89.25925925925925,0.0244589191382093,0.4016174723704656,99.53703703703704,87.5925925925926,0.0207789265002836,0.3965613266660107,88.56481481481481,85.18518518518519,0.3322716977666406,0.4232394532026613
26,0.4701760941081577,0.5420386989911398,1.3886676629384358,1.12258913119634,99.76851851851852,90.0,0.0143117834950852,0.3855007241169612,99.58333333333331,88.70370370370371,0.0226554308387943,0.3894081612428029,89.76851851851852,83.51851851851852,0.2805491085438167,0.4647456667221644
27,0.4772445460160573,0.4754464328289032,1.3869771030214098,1.2016990582148237,99.58333333333331,89.07407407407408,0.0149613022667301,0.3954296161731084,99.67592592592592,87.77777777777777,0.0169948132379966,0.402919699334436,89.53703703703704,86.48148148148148,0.3028115985148093,0.4450638996546759
28,0.455915179517534,0.4810267885526021,1.428955806626214,1.2606489658355713,99.86111111111111,89.07407407407408,0.010097865583649,0.364621177315712,99.53703703703704,88.14814814814815,0.0182256206103107,0.4046012593640221,89.25925925925925,83.88888888888889,0.2975022113498519,0.4113437168519286
29,0.4875372052192688,0.5786830385526022,1.3305838240517511,1.087716241677602,99.86111111111111,88.51851851851852,0.0090279869995463,0.4019838687446382,99.53703703703704,87.4074074074074,0.0192475841202608,0.4282772425148222,90.74074074074076,86.29629629629629,0.2895217082079719,0.4274698572562021
30,0.5221354166666666,0.6504836479822794,1.2851203680038452,0.9811195532480876,99.95370370370372,89.25925925925925,0.0071313458166139,0.3277163720793194,99.8148148148148,88.70370370370371,0.0158572980709483,0.4059974468416638,91.66666666666669,87.5925925925926,0.2683308032505652,0.3907419836477321
